match_id,player_id,date,competition,round,home_team,away_team,home_score,away_score,venue,attendance,player_name,player_nationality,team,position,started,minutes_played,goals,assists,yellow_cards,red_cards,sub_on_min,sub_off_min,notes
LC001,P008,2025-07-12,Scottish League Cup,Group Stage – Group G,Clyde,Motherwell,2,2,"New Douglas Park, Hamilton",1931,Tawanda Maswanhise,ZIM,Motherwell,FWD,1,90,2,,0,0,,,Goals at 21' and 48'. Penalty shootout goals not counted.
LC001,OPP_HIL,2025-07-12,Scottish League Cup,Group Stage – Group G,Clyde,Motherwell,2,2,"New Douglas Park, Hamilton",1931,James Hilton,SCO,Clyde,MID,1,,1,,0,0,,,Goal: 16'
LC001,OPP_SCU,2025-07-12,Scottish League Cup,Group Stage – Group G,Clyde,Motherwell,2,2,"New Douglas Park, Hamilton",1931,Liam Scullion,SCO,Clyde,FWD,1,,1,,0,0,,,Goal: 53'
LC002,P021,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Connolly,SCO,Motherwell,GK,1,90,0,,0,0,,,GK for early LC; full name unconfirmed
LC002,P005,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Emmanuel Longelo,ENG,Motherwell,DEF,1,,1,,0,0,,,Goal: 28'
LC002,P003,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Liam Gordon,SCO,Motherwell,DEF,1,90,0,,0,0,,,
LC002,P004,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Paul McGinn,SCO,Motherwell,DEF,1,90,0,,0,0,,,
LC002,P002,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Johnny Koutroumbis,GRE,Motherwell,DEF,1,90,0,,0,0,,,
LC002,P007,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Elliot Watt,SCO,Motherwell,MID,1,90,0,,0,0,,,
LC002,P013,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Tom Sparrow,ENG,Motherwell,MID,1,,0,,0,0,,,
LC002,P006,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Lukas Fadinger,AUT,Motherwell,MID,1,,1,,0,0,,,Goal: 90+1'
LC002,P009,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Callum Slattery,SCO,Motherwell,MID,1,90,0,,0,0,,,
LC002,P010,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Elijah Just,SCO,Motherwell,MID,1,90,0,,0,0,,,
LC002,P020,2025-07-15,Scottish League Cup,Group Stage – Group G,Motherwell,Peterhead,2,1,"Fir Park, Motherwell",2657,Akinola Sule,ENG,Motherwell,FWD,1,,0,,0,0,,,
LC003,P012,2025-07-19,Scottish League Cup,Group Stage – Group G,Stenhousemuir,Motherwell,0,1,"Ochilview Park, Stenhousemuir",,Stephen O'Donnell,SCO,Motherwell,DEF,1,,1,,0,0,,,Goal: first half (exact minute unconfirmed). Captain.
LC004,P011,2025-07-22,Scottish League Cup,Group Stage – Group G,Motherwell,Greenock Morton,3,0,"Fir Park, Motherwell",,Apostolos Stamatelopoulos,GRE,Motherwell,FWD,1,,1,,0,0,,,Opening goal
LC004,P008,2025-07-22,Scottish League Cup,Group Stage – Group G,Motherwell,Greenock Morton,3,0,"Fir Park, Motherwell",,Tawanda Maswanhise,ZIM,Motherwell,FWD,1,,2,,0,0,,,Brace. Described as 'magnificent double'
LC004,P003,2025-07-22,Scottish League Cup,Group Stage – Group G,Motherwell,Greenock Morton,3,0,"Fir Park, Motherwell",,Liam Gordon,SCO,Motherwell,DEF,1,,0,1,0,0,,,1 confirmed assist
P001,P001,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Calum Ward,SCO,Motherwell,GK,1,90,0,,0,0,,,
P001,P002,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Johnny Koutroumbis,GRE,Motherwell,DEF,1,90,0,,0,0,,,
P001,P003,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Liam Gordon,SCO,Motherwell,DEF,1,90,0,,0,0,,,
P001,P004,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Paul McGinn,SCO,Motherwell,DEF,1,90,0,,0,0,,,
P001,P005,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Emmanuel Longelo,ENG,Motherwell,DEF,1,90,1,,0,0,,,Goal: 87'
P001,P006,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Lukas Fadinger,AUT,Motherwell,MID,1,90,0,,0,0,,,
P001,P007,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Elliot Watt,SCO,Motherwell,MID,1,90,0,,0,0,,,
P001,P008,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Tawanda Maswanhise,ZIM,Motherwell,FWD,1,90,0,,0,0,,,
P001,P009,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Callum Slattery,SCO,Motherwell,MID,1,90,0,,0,0,,,
P001,P010,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Elijah Just,SCO,Motherwell,MID,1,90,0,,0,0,,,
P001,P011,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,Apostolos Stamatelopoulos,GRE,Motherwell,FWD,1,90,0,,0,0,,,
P001,OPP_TAV,2025-08-02,Scottish Premiership,Matchday 1,Motherwell,Rangers,1,1,"Fir Park, Motherwell",8500,James Tavernier,ENG,Rangers,DEF,1,,1,,0,0,,,"Goal: header (first half, minute unconfirmed)"
